,user,date,upvote,score,comment
63,TVJerry,"Sep 14, 2021",16,9,"Simu Liu brings his charm and charisma from the hit Canadian comedy Kim’s Convenience to his role as the first Asian hero in the Marvel movie universe. He plays the son of a man with mighty powers, thanks to the titular bracelets. As hisSimu Liu brings his charm and charisma from the hit Canadian comedy Kim’s Convenience to his role as the first Asian hero in the Marvel movie universe. He plays the son of a man with mighty powers, thanks to the titular bracelets. As his father prepares for a gargantuan task, he brings his son and daughter back to their home. Since this is an origin story, there are flashbacks that reveal more about their relationships.  So much for plot. What we really care about is the action and this features some of the most beautifully choreographed fight sequences in the genre, primarily because of the focus on traditional martial arts techniques. The scenes on the bus and the skyscraper scaffolding are the highlights. Only the final dragon confrontation resorts to the typical CGI encounters. The other crucial aspect to making a superhero flick stand out is creating cool new visual approaches and there are several scenes that thrill the imagination. There’s also a sprinkling of humor, thanks primarily to the sidekick played by Awkwafina. The most enjoyable superhero movie since Black Panther. OF COURSE, stay thru the closing titles for one scene and thru ALL the credits for a final setup. "
64,AdamWalker-,"Sep 26, 2021",16,10,This movie should be nominated for best special effects at next year's Oscars.
65,yellowpensorez,"Sep 27, 2021",16,10,"Для меня лучший фильм 2021 года на данный момент, я говорю это, потому что думаю, что у Человека-паука нет пути домой, есть все, чтобы быть лучшим.Для меня лучший фильм 2021 года на данный момент, я говорю это, потому что думаю, что у Человека-паука нет пути домой, есть все, чтобы быть лучшим."
66,tellmikeyy,"Sep  5, 2021",31,9,"A damn good solo movie to be perfectly blunt. I can see this competing with Black Panther & Doctor Strange as my favorite debut solo movie. The soundtrack is amazing, the action sequences are top notch, the plot is to the point but stillA damn good solo movie to be perfectly blunt. I can see this competing with Black Panther & Doctor Strange as my favorite debut solo movie. The soundtrack is amazing, the action sequences are top notch, the plot is to the point but still interesting. Will say the post-credit scenes are a bit underwhelming but still enjoyed them. "
67,erujabidi,"Sep  6, 2021",31,10,what a movie. did not expect this at all especially coming out of nowhere and off a covid budget for production and cast.
68,BigEggsKitchen,"Sep  6, 2021",31,8,"By far the best movie in the MCU, the story, art direction, choreography, and action is the best of any film in the universe. So good it doesn’t feel like a marvel film. If I gets a sequel it’ll be the first marvel movie I’ll be lookingBy far the best movie in the MCU, the story, art direction, choreography, and action is the best of any film in the universe. So good it doesn’t feel like a marvel film. If I gets a sequel it’ll be the first marvel movie I’ll be looking forward to. "
69,franc95,"Sep  3, 2021",45,8,"What a movie. The fights are awesome, the visuals are stunning: the third act is absolutely insane."
70,smoore26,"Sep  5, 2021",30,10,"Probably one of the best orgin stories for Marvel in awhile. Although, I gave it a ""Ten"" my only compliant is come of the car/vehicle CGI was a little wonky at times. Overall though a great story and character that I'm excited to see in the MCU."
71,GavanRSimkin,"Sep  5, 2021",30,9,"I have probably counted at least 5 Martial Arts Movies, Rolled up into this Movie!!Which is pretty good too see.
If Marvel & Kevin Fegie, do a Cross Over with another Marvel Movie...
That would pretty awesome to see Shang-Chi, evolve into aI have probably counted at least 5 Martial Arts Movies, Rolled up into this Movie!!Which is pretty good too see.If Marvel & Kevin Fegie, do a Cross Over with another Marvel Movie...That would pretty awesome to see Shang-Chi, evolve into a much better Character... "
72,cocacolor,"Sep  6, 2021",30,10,Always exciting and always gorgeous. 100% worth the COVID risk of seeing it in theaters.
73,tremault,"Sep  5, 2021",29,9,"Suffered a bit during 'big fight', sort of similar to Black Panther, but I mostly loved it."
74,Caveman08,"Sep  6, 2021",29,10,A new kickstart for the next chapter of Marvel Movies. I'd definitely put this higher than Black Panther.
75,xaviersanchez04,"Sep  6, 2021",29,9,"Shang-Chi é a representação de tudo que está certo em um filme da Marvel.Sem dúvida, um dos melhores que o Universo Cinematográfico Marvel possui."
76,Gasti12345,"Sep  7, 2021",29,8,"Shang-Chi is a movie that nobody expected. An exemplar with which we were not familiar that, not only knew how to exploit their low expectations to the maximum extent, but also developed a structured and dynamic narrative immersed in a MCUShang-Chi is a movie that nobody expected. An exemplar with which we were not familiar that, not only knew how to exploit their low expectations to the maximum extent, but also developed a structured and dynamic narrative immersed in a MCU that does not leave much room for new heroes.Shang-Chi made its first appearance in Steve Englehart and Jim Starlin's “Special Marvel Edition # 15” (December 1973). A Kung-Fu master created in the middle of the genre's boom in the US in the 1970s, Shang-Chi is quite a quirky character.Played by Simu Liu, the protagonist is embarked on an adventure after being intercepted by ghosts from his past. Full of action, martial arts and a very own and attractive aesthetic, the film unfolds without delay. The scenes are punctual and always add something new. Even with a sense of  humor that can get heavy on certain occasions (such as when Katy makes jokes in the middle of life and death situations), Shang-Chi finds its essence, exploits it and ends with a gold ribbon leaving the door open for future aftermath.Marvel and its production team never cease to amaze me with their new films. In a difficult transition period, given the conclusion of the Infinity Saga and the beginning of this new phase, the studio keeps its feet on the ground and continues a coherent thread of its interconnected universe. Regardless of the obvious mentions to the events of ""Avengers Endgame"", Marvel returns to do what it does best: including thousands of references, cameos and winks that leave the geeks like me open-mouthed and with the greed for more.The cast is incredible. I did not know any of the actors beforehand and they all dazzled me with their distinctive personalities and professional interpretations. The studio made a great work in synthetizing the oriental culture´s mythology and beliefs. However, it is true that Shang-Chi continues to be a westernized vision of Asian cultures due to its falls into stereotypes of martial arts and frequent characterizations of the Eastern world in Hollywood. Despite this and to my surprise, Shang-Chi knows how to combine the best of both worlds, using humor as its best tool and taking its time to tell the story, avoiding the rush to get to the action sequences that movies of this kind have sufferedThe protagonist's arc is round and fulfilling. It has cohesion and is true to its ideals from beginning to end. Thus, the villain (excellently played by Tony Leung) only contributes to the plot and does not fall into the corner of un-memorable Marvel villains. We send you a greeting, Fake Mandarin. If it hadn't been for the blessing acting skills of RDJ, no one would remember your existence.Furthermore, the film interprets the concept of ""grays"" very well. In a franchise that is ""infantilized"" at times, Shang-Chi does not stutter in telling the hard truths of reality such as unsatisfactory employment, unreal family expectations, childhood trauma, the dilemma about murder, among others. Heroes are not pure white. They have their shortcomings, they fight with their demons and that makes them more credible, more human.With a stellar sound-track, Shang-Chi is one of Marvel's most unexpected gems. It is amazing to feel and denote the love with which these films are made and the fidelity to the source materials. For example, the main character's leitmotif is a work of art and a composition that immerses us even more in the plot. Kevin Feige deserves all the praise, he is truly a man who knows how to sell his product very well and, at the same time, sell us something with great qualitative value.After the post-credits scenes, fans only crave more and rejoice in the near future for what remains of this phase. Now with the recent release of the trailer for the new Spiderman movie, one only has to cross out the days for its premiere and admire the attention to detail that they put into the making of the films, not only as individual creations, but as a large adjoining and a special set of films. Bravo Marvel.Postscript: I really love Benedict Wong. Is he the ultimate man? "
77,jhonyrioli,"Sep  3, 2021",43,10,"A Marvel não veio para brincar mesmo, Shang-Chi é simplesmente incrível!Claramente um dos melhores filmes solos do MCU, se não até o melhor."
78,saad1243,"Sep  3, 2021",42,10,Absolutely loved this movie. One of the best superhero movies ever. Simu Liu and Tony Leung were both brilliant
79,mrc_brn,"Sep  7, 2021",28,7,"Entertaining if somewhat long superhero origin story. Both leads are very entertaining and their interactions with each other and the outside world, and are a highlight of the movie. As are the many fight scenes. Visually an impressive movie.Entertaining if somewhat long superhero origin story. Both leads are very entertaining and their interactions with each other and the outside world, and are a highlight of the movie. As are the many fight scenes. Visually an impressive movie. Not much wrong with it as a very entertaining popcorn affair. Despite the simplicity of some of the characters and the inevitable plot holes that accompany superhero worlds. "
80,MichaelPraytor,"Sep  7, 2021",28,7,"If you've ever seen a marvel movie you pretty much know what you're getting here. Doesn't break any new ground, the superhero origin story is formulaic and well-trodden territory for Marvel. This however has some of the best fight scenesIf you've ever seen a marvel movie you pretty much know what you're getting here. Doesn't break any new ground, the superhero origin story is formulaic and well-trodden territory for Marvel. This however has some of the best fight scenes which is it's main draw but some of its most lacking characters, particularly the protagonist and antagonist who are both devoid of any personality whatsoever and are hampered by having 3 minor female characters around them who can beat them in a fight, zapping the final confrontation between the two of much tension "
81,saintandrewsfal,"Sep  6, 2021",28,8,"Marvel makes another ""B"" grade movie, which is by no means an insult. However, I couldn't help shake the feeling that I had seen this Marvel movie before. In other words, these films are becoming formulaic, especially since I've seen everyMarvel makes another ""B"" grade movie, which is by no means an insult. However, I couldn't help shake the feeling that I had seen this Marvel movie before. In other words, these films are becoming formulaic, especially since I've seen every one of them. Combine that with the new shows and I wonder if they're starting to get too saturated. This film and one medium flaw and a handful of small flaws in my opinion, but nothing major. The medium flaw was a character's motive three quarters into the film and some of the smaller issues was overreliance and sometimes questionable CGI (reminded me of Black Panther's not so good CGI in parts). Also, it was pretty predictable if you've seen a ton of movies over your lifetime, but again, it's a superhero flick. It dragged a smidge in Act 3 as well. On the positives, it didn't rely on a bunch of clichés in addition to the action/martial arts being top notch. The characters were likeable and world building was solid. IMO Marvel makes about 15% ""A"" films, 70% ""B"" films, and 15% ""C"" films. This can be thrown in with the majority. "
82,Hua,"Sep  6, 2021",28,10,"I genuinely wasn't gonna see this in theaters despite the stellar reviews (due to COVID concerns), but unexpectedly got a day off and decided, wth why not? And I was so pleasantly surprised and taken aback by how moved I was...and just howI genuinely wasn't gonna see this in theaters despite the stellar reviews (due to COVID concerns), but unexpectedly got a day off and decided, wth why not? And I was so pleasantly surprised and taken aback by how moved I was...and just how much I loved it overall. The trailers had not gotten me at all. But the characters were perfect, the emotion hit me hard...I found myself tearing up inexplicably early on. It was just so beautifully made, felt so genuine and human. Honestly, and I mean this as a praise, it didn't feel like a Marvel movie (for the most part); it just felt like a good story. Definitely one of the better movies, I think, in the entire MCU. So well done to everyone involved  "
83,Dubeau,"Sep  6, 2021",28,8,"Shang-Chi was a fun movie. The story is mystical in nature, in line with Dr Strange. It has a lot of humour and great actions/fighting. The acting was very solid from the main actors to the secondaries. The CGI was solid too. The fightingShang-Chi was a fun movie. The story is mystical in nature, in line with Dr Strange. It has a lot of humour and great actions/fighting. The acting was very solid from the main actors to the secondaries. The CGI was solid too. The fighting sequence was really good, except for the one on the tower exterior, where it gets too fast and confusing. The music support the movie very well. I give it 82%. I really like it, especially since I never even read one comic about that character. It was all new to me and very enjoyable. "
84,Luisalfredo3066,"Sep  8, 2021",28,10,It's the best superhero movie I've seen this year and the decade.I know I'm being a bit of an exaggeration but I really enjoyed it so much.
85,dario12,"Sep  8, 2021",28,8,"Shang Chi and the Legend of the Ten Rings is one surprisingly very fun MCU movie and it surprised me in some ways.I will be honest before watching this film I was little tired of superhero movies being made multiple times over the year andShang Chi and the Legend of the Ten Rings is one surprisingly very fun MCU movie and it surprised me in some ways.I will be honest before watching this film I was little tired of superhero movies being made multiple times over the year and after mediocore Black Widow ,I was thinking how this will be another disposable work but in the end I was wrong and I am glad because of that.Story was nothing new or remarkable but it still had some good laughs,fun and some solid messages.Characters were ok to while fights were nicely choreographed and enterteining. "
86,destinyfan1,"Sep  6, 2021",27,9,"Wow...I did not expect this at all.The trailer gave me the impression that this would be another no brain movie.But i was super wrong.This movie delivered on all fronts.Insane action(the bus scene is one of my favorite marvel movie fightsWow...I did not expect this at all.The trailer gave me the impression that this would be another no brain movie.But i was super wrong.This movie delivered on all fronts.Insane action(the bus scene is one of my favorite marvel movie fights ever).A touching story ,good visuals and good performances from the actors,especially the villain.My only negative point is that the ending was a bit less impressive and fleshed out like the other 100 minutes of the movie but it was still great. "
87,mikesgold2K,"Sep  8, 2021",27,8,"Jeden z najlepszych solowych filmów MCU, z genialnymi scenami walki oraz wschodnim vibem. Można nawet zapomnieć, że to film ze stajni Marvel Studios. Szkoda tylko, że potem film traci przez nadmierną ekspozycję oraz bardzo standardowy aktJeden z najlepszych solowych filmów MCU, z genialnymi scenami walki oraz wschodnim vibem. Można nawet zapomnieć, że to film ze stajni Marvel Studios. Szkoda tylko, że potem film traci przez nadmierną ekspozycję oraz bardzo standardowy akt trzeci z wielką bitwą itp. Jednak nie mogę się doczekać pierwszych interakcji Shang-Chiego z resztą ekipy Avengers "
88,RedGreyBlue,"Sep  6, 2021",27,10,"Easily one of the Top 10 marvel movies to date. Compared to a puzzle, every piece in this movie fit perfectly into each other."
89,Uzor,"Sep  6, 2021",27,7,"Good movie. I don't understand why so many people treat him so badly? I liked this film, although not 100%))"
90,Vaibhav28,"Sep  8, 2021",26,10,"This is the best idea for a super hero , Marvel exceeded my expectations this and don't judge by trailer which has kept the adventure of this movie as a secret."
91,Santiago5000,"Sep  8, 2021",25,10,This movie shut the mouth of many haters.I knew it was going to be good since I knew it was going to show the real Mandarin.
92,angelsanzcorrea,"Sep  3, 2021",37,10,"One of the better and most inspired MCU films. Bold and imaginative (at least for Marvel standards), top production, impressive acting by the lead and the 5 star cast and overall exciting for what it brings for the future. We had a lot of funOne of the better and most inspired MCU films. Bold and imaginative (at least for Marvel standards), top production, impressive acting by the lead and the 5 star cast and overall exciting for what it brings for the future. We had a lot of fun at the theater.As usual, ignore the alt-right trolls angry at multi-cultural sucess (which, incidentally, write from the US where the film still has 12 hours until it premieres...). "
93,Gogo1210,"Sep  3, 2021",37,10,Great visuals great fight choreography great chemistry between Shang chi and wenwu
94,JeffJeffy,"Sep  3, 2021",36,9,"An overall great movie with amazing soundtrack, a deep story with a great villain, and breathtaking action and visuals. It has some minor flaws but nothing big you could complain about. The humor was also on point and doesn't stop the aAn overall great movie with amazing soundtrack, a deep story with a great villain, and breathtaking action and visuals. It has some minor flaws but nothing big you could complain about. The humor was also on point and doesn't stop the a action, like it did in some other Marvel movies. "
95,MiloGray,"Sep  3, 2021",36,10,"A top 3 Marvel Movie. The actions scenes are probably some of the best in the MCU, Wenwu is one of my favourite villains, the visuals and cgi are insane, the chemistry between all of the characters is impeccable, the music and culturalA top 3 Marvel Movie. The actions scenes are probably some of the best in the MCU, Wenwu is one of my favourite villains, the visuals and cgi are insane, the chemistry between all of the characters is impeccable, the music and cultural appreciation couldn’t have been any better. Not just a perfect Marvel movie, but a perfect movie in general that’ll hopefully be nominated for some sort of academy award "
96,Netuno20PT,"Sep  3, 2021",36,10,"Um dos melhores filmes que a marvel ja produziu, efeitos gráficos esplêndidos, comedia perfeita nos momentos certos sem ser forçado, historia interessante e cativante, aconselho vivamente a qualquer uma pessoa a assistir o filme"
97,Llydlester,"Sep 15, 2021",24,9,"Marvel Studios’ “Shang-Chi and the Legend of the Ten Rings” is the latest modern-day extension to the MCU? Guided to craft beautifully by Destin Daniel Cretton. Shang-Chi has a massive soulfulness that future MCU movies need to take notes onMarvel Studios’ “Shang-Chi and the Legend of the Ten Rings” is the latest modern-day extension to the MCU? Guided to craft beautifully by Destin Daniel Cretton. Shang-Chi has a massive soulfulness that future MCU movies need to take notes on and that only Black Panther did so memorably. It occurred to me while watching this movie that it is genuinely no longer about the characters we focus on, but it is their adventure toward locating themselves, and we follow that adventure here in an amazing Superhero Oriental Fantasy blockbuster. Noticeably, the VFX, scene sets, costume designs, and the special effects themselves incredibly heightened the impact of the movie and allowed a symbolic impact on the awe-inspiring production value and, as a result, the aforementioned movie knocked out in dazzling heights on a beautiful scale because of the VFX. The movement sequences and choreography are polished and stunning. Narratively, the storyline continues incredibly, and we understand the moments of humour the MCU is so well-known for, and we are all here for it. This film divided me going to the cinema and waiting for a digital component! Because of COVID-19, however, I didn’t need to have the entirety of Shang-Chi spoiled earlier on with leaks, thank goodness I went to the very first showing on the opening Thursday night, I have experienced Shang-Chi several times now and in extraordinarily different formats including 4D-X. This movie displays some of the most remarkably phenomenal combat performances in a Marvel movie I had never seen in this noticeable approach previously. The movie is formulaic and well-trodden territory for Marvel and has several exceptional visual effects layered in. Shang-Chi is such an enchanting movie to watch and even better on the biggest screen you can find, keeping safety in mind at all times! If you have seen Marvel movies consistently, you’ve got to know that the narrative is a predictable storyline for Marvel’s superhero foundation adventures. This film is full of numerous great moments, with its battle sequences and action set pieces, which is arguably undoubtedly its major attraction. But Shang-Chi has given us some outstanding personalities and characters in a live-action film like Black Panther’s did so on his solitary quest. Marvel Studios’ Shang-Chi and the Legend of the Ten Rings is one of the most exceptional superhero movies I’ve watched in years, if not in the past decade. Simu Liu and Meng’er Zhang and Tony Leung Chiu Wai get considerable distinct and exceptional choreographed action choreography that we have not witnessed since Captain America: Winter Soldier. There is not any one thing like Shang-Chi I have seen before in the MCU, this film seems fresh. Shang-Chi feeds us with the deprived traditional antique sequences of martial craftsmanship, which we appreciate a lot as an audience and applauds in an incredible modern depiction. This is one of the better, exceptional Marvel films ever. I would recommend watching this one. "
98,GLADIADOR,"Sep  3, 2021",35,8,"Shang chi é um filme muito bom, o humor é ok, o vilão é ok mas a primeira cena pos creditos é bem engraçada"
99,Morgan88,"Sep  5, 2021",35,7,"I saw this movie yesterday and I`m really torn, the main story is pretty good and the martial arts fight scenes are really well done. But one (Awkwafina) character is the constant comic relief in the movie, every 2 minutes she is crackingI saw this movie yesterday and I`m really torn, the main story is pretty good and the martial arts fight scenes are really well done. But one (Awkwafina) character is the constant comic relief in the movie, every 2 minutes she is cracking jokes, after a while it is very distracting and from halfway through the movie she doesn`t make sense to be around, she feels like the producer signed her after the script was ready and she had to be shoehorned in. The sister should have had more screen time she is far more interesting than Katy. And the very last battle is very CGI which would be fine and it is not badly done, but seeing how amazing were the martial arts scenes I feel it is a missed opportunity there. Otherwise the acting is really solid here and like I said the story and the fight scenes were great. "
0,Ps5-reviews,"Sep  3, 2021",35,7,"shang chi review no spoilersI saw shang chi the new marvel film with an oriental tone.The strongest point of the film is the plot that manages to tell (although in the first few bars I was not convinced) a simple story, easy to understandshang chi review no spoilersI saw shang chi the new marvel film with an oriental tone.The strongest point of the film is the plot that manages to tell (although in the first few bars I was not convinced) a simple story, easy to understand and linear.The soundtrack does not make you scream to the miracle but it is still good and accompanies the scenes well. These latter are some very beautiful, others instead made me turn up my nose. The main flaw of the film is the poorly detailed characters (apart from shang chi) albeit justified by a good cast. One thing that I have not endured instead is that they have wasted the character of ..... guys I really don't know what it's called forgive me(the masked one like taskmaster) "
1,cristinasavi98,"Sep  3, 2021",35,9,Un film che sa di cosa si tratta e se lo gode fino alla fine.Un grande successo per i Marvel Studios.
2,Pedrolnb1,"Sep  3, 2021",35,10,"Um filme epico, sem palavras pra descrever as cenas de ação que esse filme trouxe..Marvel está de parabéns, esse pode ser o melhor filme solo de ação da marvel facilmente..Trouxe tudo o que é de bom em um filme de artes marciais.
E o humorUm filme epico, sem palavras pra descrever as cenas de ação que esse filme trouxe..Marvel está de parabéns, esse pode ser o melhor filme solo de ação da marvel facilmente..Trouxe tudo o que é de bom em um filme de artes marciais.E o humor não  incomodou  nem um pouco.Nota 10 "
3,miccael,"Sep 13, 2021",23,8,"As a standalone movie, this is great introductionaty MARVEL movie.But this does not mean movie has no problems. The pacing wasn't that great, The ""villain"" is not really a villain, he is also not a good guy, although movie tries to show theAs a standalone movie, this is great introductionaty MARVEL movie.But this does not mean movie has no problems. The pacing wasn't that great, The ""villain"" is not really a villain, he is also not a good guy, although movie tries to show the good in him. His motives can be relatable, I get that, but the actual villain of the movie is quite generic.What I can give kudos to this movie is that they managed to stay away from shoehorning other MARVEL heroes and rely on them to promote this movie or be a partial reason to see it (SpiderMan Homecoming as an example). Martial arts parts are great! But then....they are turned into CGI-fight. Movie needed more martial arts and less specticle. I feel like there are a bit too many characters here...and not enough time for all. Second half is a bit...well, more MARVEL and less Shang-Chi / Martial arts. That is a bummer, i wish i saw more action and less CGI.But it was enjoyable, jokes worked and definitely looking forward to more. "
4,GameAnalyzer,"Sep  3, 2021",33,8,"Shang Chi is just another addition to the impressive lore MCU has brought forth with their connected universe. The movie works mainly due to the story it brings out with respect to the folks linked to a distinctive fantasy world and powersShang Chi is just another addition to the impressive lore MCU has brought forth with their connected universe. The movie works mainly due to the story it brings out with respect to the folks linked to a distinctive fantasy world and powers appropriated by their descent, the perfect balance of humor, action and the on-screen chemistry between the lead characters. The phase 4 MCU seems to be hitting on all the cylinders so far. The post credit sequences might generate more interest among fans looking forward to the next. "
5,hernanvillalta,"Sep  3, 2021",33,10,Me gusto mucho. Me gusta que ahora las películas no solo sean acción sino se basen en conflictos familiares y con ello den humanidad a los personajes. Peleas ya vimos bastante y con personajes bien construidos te puedes creer lo que después hagan. Ame la escena cuando los padres de Shan se enamoran. Ese baile pelea es bellísimo. 
6,AvengerDragon56,"Sep  3, 2021",33,10,"This was suck a nice change of pace for Marvel Studios. It didn't feel like a superhero movie this time, it felt like a real martial arts movie."
7,BradMorgan,"Sep  4, 2021",33,9,"Fantastic film (also for the non-marvel fans). The story is well structured with a good mix of humor, action and drama. The main characters have a nice chemistry and the CGI was amazing. Add to that the good soundtrack and you have everythingFantastic film (also for the non-marvel fans). The story is well structured with a good mix of humor, action and drama. The main characters have a nice chemistry and the CGI was amazing. Add to that the good soundtrack and you have everything a good film should have. "
8,Rixam,"Sep  4, 2021",33,9,"I found the movie very enjoyable to watch. The action sequences were among the best in the MCU, the CGI elements were really pretty and there were some really hilarious parts. Some of the characters had really fascinating stories that wereI found the movie very enjoyable to watch. The action sequences were among the best in the MCU, the CGI elements were really pretty and there were some really hilarious parts. Some of the characters had really fascinating stories that were nice to see.The Chinese legends elements didn’t resonate that well to me but were well executed and didn’t affect the viewing experience negatively. Something was missing to me in the development of some characters but hard to go into details without spoiling.Definitely a great movie that I can wholeheartedly recommend people to watch.I’m a fan of MCU but I have zero interest in Marvel comics. I am also a white guy from Finland in case it matters to anyone. "
9,Pedro350,"Sep  3, 2021",33,10,"Esta película fue una grata sorpresa, no esperaba nada ella y termino siendo una de mis películas favoritas de superhéroes."
10,LMM913,"Sep  5, 2021",32,10,Another homerun for Marvel. Glad that this was the first film I decided to watch in theaters since the Pandemic hit. Such a beautiful film to see on the big screen.
11,Ay410,"Sep  4, 2021",32,10,"100% My new favorite Marvel movie. Way exceeded expectations. The best- OST Soundtrack: incredible. Visuals, Humor, Fight Choreography, Tony Leung and Michelle Yeoh's acting skills. Ben Kingsley's Humor. The inclusion of Mandarin Chinese100% My new favorite Marvel movie. Way exceeded expectations. The best- OST Soundtrack: incredible. Visuals, Humor, Fight Choreography, Tony Leung and Michelle Yeoh's acting skills. Ben Kingsley's Humor. The inclusion of Mandarin Chinese dialogue with English at appropriate times was fantastic. Best Hollywood/Chinese culture movie that puts Mulan to shame.I was so Awkwafinad out and was dreading seeing her, but she was perfect for the roll. Glad to see she toned it down a bit. Noticing some of these comments ""didn't care for the family...the lead had no personality""--- This reeks of not having ever interacted or befriended an Asian person. Go into it with open arms and an open heart.Also- what the heck is with all the downvotes for reviews in French or Spanish? If you can't understand why downvote? America is 25% Hispanic, let them review in Spanish if they want. "
12,Supremeguys,"Sep  4, 2021",32,10,"ngl … Shang-Chi is a must watch! Marvel’s first Asian superhero movie exceeded expectations. The martial arts, movement and choreography was literally"
13,SoulWarfare,"Sep  4, 2021",31,8,"I once said after watching Black Panther, that it would be cool if there was an all Asian cast similar to it. There were some all Asian cast movies like Crazy Rich Asian (2018), but that is a romcom, and Mulan (2020), but that was bad. InI once said after watching Black Panther, that it would be cool if there was an all Asian cast similar to it. There were some all Asian cast movies like Crazy Rich Asian (2018), but that is a romcom, and Mulan (2020), but that was bad. In comes Shang Chi which is the first Asian lead Superhero movie ever. Firstly, the action sequences and choreography are some of the best from Marvel since Captain America and the Winter Soldier (2014). Martial arts are the focus of the action scenes in Shang Chi and they are beautifully choreographed. We get the classic wire-fu/floating style of Crouching Tiger but we also get some Jackie Chan style with the utilization of the environment for the action. Each action scene is memorable and stunning to watch. Additionally, the action scenes avoid using lots of cuts and shaky cam which I was so grateful for. It is also clear that the actors themselves rehearsed the choreography making the fights feel more believable and gratifying. It does become a more typical MCU action sequence by the third act but even that is still pretty enjoyable even if it isn't as good as the first two acts. The cinematography by Bill Pope (Matrix trilogy, Spiderman 2 and 3, Scott Pilgrim) is also excellent in Shang Chi. Skyscrapers and forests in Marvel movies have never looked as good as it has in Shang Chi. Bill pope and director Destin use the lighting and colours very effectively and allow for some genuinely beautiful shots. The music score by Joel P. West is also pretty good. Joel utilizes more electronic sounds and pop/rap songs for the scenes in the city but uses more traditional Asian instruments for the mystical areas. Joel's score captures the scene and the pop/rap songs themselves are also quite good albeit not as memorable as the Weeknd or Lamar from Black Panther. I also love the story and exploration of ""family"" with Shang Chi whilst not using Asian stereotypes. It also doesn't overuse humour like in Marvel's previous outing, Black Widow (2021), where they use jokes every couple of minutes and ruin a serious scene. Shang Chi thankfully avoids doing this, thus allowing the emotion of a scene to linger longer. There are still jokes though but they are genuinely quite funny.Furthermore, Simu Liu is charismatic, charming and cool as the titular character Shang Chi. I think Marvel succeeds again in the casting department as Simu Liu delivers on making me believe that this guy is a top tier martial artist. I also think Simu gives a good performance during the more emotional moments as well. His chemistry with Awkwafina who plays Shang Chi's friend Katy is great too. The banter between Shang Chi and Katy is some of the funniest scenes and makes me believe that those two were friends for years. However, Tony Leung who plays the main villain Wenwu (the real Mandarin) is the one that steals the show. Tony Leung is just phenomenal as he can convey the exact emotions of his character just through body language alone, it is just masterful acting. My biggest worry with MCU origin movies is that the villains are lacklustre but Shang Chi does not fall into this. Wenwu is very sympathetic but also extremely fearsome. He is also the father of Shang Chi which makes the conflict between them feel more meaningful and tragic. Wenwu is not a straight-up evil person as he does still have good in him and I like that.Unfortunately, Shang Chi suffers from having the 3 villain problem. Razorfist played by Florian is Wenwu's henchman and he doesn't get any backstory. I don't mind him that much though as he is mostly there to chase Shang Chi like a 007 henchman. There is also a scene where he does seem visibly worried about Wenwu's health which gives him some character depth. On the other hand, the 3rd villain Death Dealer who is a mysterious assassin of Wenwu is a massive disappointment. He looks very cool and visibly distinct from other ten ring members and is relevant to Shang Chi's past but amounts to absolutely nothing. Moreover, there is also a 3rd hero to Shang Chi and Katy with Shang Chi's sister Xialing played by Meng'er Zhang. She doesn't get enough interactions with Shang Chi, Katy or her father Wenwu and that feels like a waste. It's a shame as her interactions with both Shang Chi and Katy are enjoyable and she also doesn't interact with her dad Wenwu which is just a missed opportunity for her character. The movie also has a pacing issue as it slows down significantly in the second act. It just featured a lot of talking, exposition and flashbacks which I felt could have been cut down by a couple of minutes.Overall, Shang Chi and the Legend of the Ten Rings is the all Asian cast movie I have been waiting for. It delivers on the action, story and characters while being an exciting new addition to the MCU. I can't wait to see more of Shang Chi and finally get to see an Asian in the Avengers team. "
14,LeonardoAgui555,"Sep  6, 2021",31,9,Shang-Chi is the real movie that should have started phase 4 of the Marvel Cinematic Universe.
15,Khenary,"Sep  3, 2021",56,10,"This movie is so epic and so fun. Congratulations Marvel! 10/10, epic fights, nice drama and great ending."
16,InShane,"Sep  5, 2021",34,8,"Allegedly, ""Eternals"" is on the table to be delayed if ""Shang-Chi” under-performs... Welp, they better get that idea off the table ASAP, because this movie is not only doing amazingly well, it's also an amazing movie! “Shang-Chi” is a uniqueAllegedly, ""Eternals"" is on the table to be delayed if ""Shang-Chi” under-performs... Welp, they better get that idea off the table ASAP, because this movie is not only doing amazingly well, it's also an amazing movie! “Shang-Chi” is a unique genre blend of martial arts, fantasy, and family drama.In my opinion, this film had quite possibly, some of the best fights in any Marvel movie. The film had everything you could possibly want in a martial arts film: From elegant ""Wire fu"" fights to traditional martial arts to feudal battles, it was a true celebration of Asian martial arts.Coupled with amazing martial arts, this film also had a fun fantasy element to it: The second half of the movie was filled to the brim with Asian folklore creatures and enough whimsy to fill your heart with wonder and awe.If there was anything I’d fault the movie for, it would be the high budget visual effects sort of “deluding” some of the martial arts scenes and maybe a bit too much forced humor. It just feels like every Marvel movie HAS to be a comedy these days, and I hope that trend simmers down in the future.“Shang-Chi” was a pleasant surprise and a HUGE win for the “Marvel Cinematic Universe.” ""Ant-Man,"" I love ya... But ""Shang-Chi and the Legend of the Ten Rings"" has officially taken your spot in my ""Top 5 Marvel Movies"" List! "
17,Orijantmaple,"Sep 29, 2021",14,10,Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good! Shang Chi!!!
